timestamp, utilization.gpu [%], utilization.memory [%], pstate, pcie.link.gen.max, pcie.link.gen.current
2024/06/18 11:25:28.576, 75 %, 53 %, P0, 3, 3
2024/06/18 11:25:29.583, 76 %, 54 %, P0, 3, 3
2024/06/18 11:25:30.583, 74 %, 52 %, P0, 3, 3
2024/06/18 11:25:31.583, 61 %, 43 %, P0, 3, 3
2024/06/18 11:25:32.586, 77 %, 54 %, P0, 3, 3
2024/06/18 11:25:33.587, 46 %, 34 %, P0, 3, 3
2024/06/18 11:25:34.588, 62 %, 45 %, P0, 3, 3
2024/06/18 11:25:35.589, 47 %, 34 %, P0, 3, 3
2024/06/18 11:25:36.589, 76 %, 54 %, P0, 3, 3
2024/06/18 11:25:37.589, 77 %, 54 %, P0, 3, 3
2024/06/18 11:25:38.605, 76 %, 54 %, P0, 3, 3
2024/06/18 11:25:39.607, 72 %, 50 %, P0, 3, 3
2024/06/18 11:25:40.607, 59 %, 43 %, P0, 3, 3
2024/06/18 11:25:41.607, 72 %, 57 %, P0, 3, 3
2024/06/18 11:25:42.608, 77 %, 54 %, P0, 3, 3
2024/06/18 11:25:43.608, 76 %, 53 %, P0, 3, 3
2024/06/18 11:25:44.609, 55 %, 39 %, P0, 3, 3
